iter	Logloss
0	0.6868663316
1	0.6813241337
2	0.6758620873
3	0.6709520147
4	0.6655301298
5	0.6600438664
6	0.6553214427
7	0.650078077
8	0.6455893356
9	0.64127397
10	0.6365321727
11	0.6318234219
12	0.6271613475
13	0.6228193647
14	0.6187870583
15	0.6140905659
16	0.6107141302
17	0.6066637361
18	0.6034650481
19	0.6003840157
20	0.5961863057
21	0.592214863
22	0.588403166
23	0.5840360663
24	0.5808013745
25	0.577395707
26	0.57391426
27	0.5709973453
28	0.5677614105
29	0.5642512889
30	0.5605903368
31	0.5580289605
32	0.5550363948
33	0.5519484616
34	0.5487299716
35	0.5454615904
36	0.5422921341
37	0.5394636004
38	0.5373298559
39	0.534896422
40	0.5321465824
41	0.529361682
42	0.5264916152
43	0.5246262282
44	0.5217941799
45	0.5188539055
46	0.5167920831
47	0.5153541136
48	0.5128575871
49	0.511052721
50	0.5087646313
51	0.5059397408
52	0.5036118325
53	0.501388807
54	0.4989601307
55	0.4974197216
56	0.4951968675
57	0.493175378
58	0.4917037621
59	0.4897484083
60	0.4877861109
61	0.4861912674
62	0.4842738462
63	0.4826841462
64	0.4809037112
65	0.4794070212
66	0.4784239008
67	0.4765724868
68	0.4746002026
69	0.4730266614
70	0.471814102
71	0.4702361889
72	0.4687048237
73	0.4669925818
74	0.4656059179
75	0.4641259868
76	0.46240753
77	0.4610587131
78	0.4599879404
79	0.4584903503
80	0.4571914673
81	0.455765542
82	0.4548064243
83	0.4537239503
84	0.4521500234
85	0.4511981921
86	0.4499125106
87	0.4485476205
88	0.4476105765
89	0.4462522871
90	0.4451500968
91	0.4439871284
92	0.4427881991
93	0.4417024248
94	0.4407505507
95	0.439958551
96	0.4389236965
97	0.4378350504
98	0.4368394144
99	0.4355609765
100	0.4344344407
101	0.4331687327
102	0.4318558768
103	0.4309397494
104	0.4302207861
105	0.4293257895
106	0.4284696258
107	0.4273647351
108	0.4263243943
109	0.4254638158
110	0.4247563394
111	0.4239255927
112	0.423149709
113	0.4223904556
114	0.421541364
115	0.4206009768
116	0.4199800813
117	0.4188608748
118	0.4182079187
119	0.4177307815
120	0.4170918411
121	0.4163637483
122	0.4157128066
123	0.4150616078
124	0.414226232
125	0.4136901598
126	0.4129892414
127	0.4123355137
128	0.4118799788
129	0.411240567
130	0.4106519892
131	0.4100711694
132	0.40933519
133	0.4085869093
134	0.4079321529
135	0.4073948378
136	0.4068236619
137	0.4061423312
138	0.4056979404
139	0.404814388
140	0.4045145271
141	0.4037761045
142	0.403130092
143	0.4025468291
144	0.4019464643
145	0.4015159607
146	0.4010517249
147	0.4005978188
148	0.4000906784
149	0.3996056117
150	0.3990739972
151	0.3987442188
152	0.3983009424
153	0.3979037853
154	0.3972971198
155	0.3967886935
156	0.3965136924
157	0.3961486388
158	0.3956095663
159	0.3952734444
160	0.3949362937
161	0.3942374754
162	0.3939404005
163	0.3934633491
164	0.3930449325
165	0.3926963378
166	0.3923586728
167	0.3918816641
168	0.3914637191
169	0.3910604756
170	0.3906247
171	0.3902311432
172	0.3898627035
173	0.3893385469
174	0.3888868696
175	0.3885191157
176	0.3880109466
177	0.3875588406
178	0.3871987589
179	0.3868004445
180	0.386365569
181	0.3859775843
182	0.3855650398
183	0.3853858776
184	0.3850931746
185	0.3846355395
186	0.3844612636
187	0.3841228271
188	0.3837821189
189	0.3835001742
190	0.3830623412
191	0.3828462322
192	0.3825507003
193	0.3820502463
194	0.3817560432
195	0.3813991761
196	0.3810769413
197	0.3806744693
198	0.3801878168
199	0.3799271316
200	0.3794926418
201	0.3791918808
202	0.378854473
203	0.3786589376
204	0.3783089284
205	0.3778974555
206	0.3775785639
207	0.3773546112
208	0.3770328479
209	0.3766638081
210	0.376183842
211	0.3756973181
212	0.3753832699
213	0.3750285888
214	0.3747640031
215	0.3744131367
216	0.3741949274
217	0.3737614664
218	0.3734547047
219	0.3732954732
220	0.3729563509
221	0.3726444459
222	0.3722634476
223	0.3719293401
224	0.3716452524
225	0.3714400731
226	0.3711484845
227	0.3708665826
228	0.3705494056
229	0.3702419152
230	0.3699209663
231	0.369473961
232	0.369261238
233	0.3690688744
234	0.368779386
235	0.3683300661
236	0.3679988304
237	0.3678248116
238	0.3675356661
239	0.3671920005
240	0.3670169102
241	0.3667948862
242	0.3664813095
243	0.366306605
244	0.3659776838
245	0.3656812518
246	0.3655119478
247	0.3653063828
248	0.36514818
249	0.3650252953
250	0.3648068717
251	0.3644772647
252	0.3641711031
253	0.3640276448
254	0.3638029634
255	0.3636357168
256	0.3632885365
257	0.3631224043
258	0.3629904758
259	0.3628442314
260	0.3626037769
261	0.3623580933
262	0.3620453738
263	0.3617900891
264	0.3615261464
265	0.3614027902
266	0.3611384617
267	0.3610202918
268	0.3606519378
269	0.3604647176
270	0.3602524661
271	0.3600414148
272	0.3597934166
273	0.3595615773
274	0.3594185476
275	0.3591924303
276	0.3591014776
277	0.3588506291
278	0.3585909297
279	0.3583880435
280	0.3582706666
281	0.3580269117
282	0.3578356411
283	0.357633655
284	0.3574186818
285	0.3571148133
286	0.3569232855
287	0.3568492418
288	0.3566812665
289	0.3564841453
290	0.3563092264
291	0.3561461588
292	0.3560205953
293	0.355837104
294	0.3557556452
295	0.355464571
296	0.3553607169
297	0.3552032642
298	0.3550982957
299	0.3549484939
300	0.3547812473
301	0.3545910267
302	0.3544137933
303	0.3542518616
304	0.3540810574
305	0.3539485931
306	0.3537200328
307	0.3535744528
308	0.3534582545
309	0.3533086455
310	0.3531691733
311	0.3530301512
312	0.352808963
313	0.352653482
314	0.3523377836
315	0.3520921
316	0.3519650577
317	0.3517480057
318	0.3515836094
319	0.3514192774
320	0.3511800445
321	0.3510199772
322	0.3507946743
323	0.3506493301
324	0.3506171194
325	0.3503990816
326	0.3501853943
327	0.3500985135
328	0.3499226302
329	0.3495403461
330	0.3494277268
331	0.3492505363
332	0.3490644519
333	0.3489309161
334	0.3488284122
335	0.3486483285
336	0.3485260653
337	0.3482674159
338	0.3481315441
339	0.348060415
340	0.3479764274
341	0.3478544214
342	0.3477346442
343	0.347606016
344	0.3475286934
345	0.3473769842
346	0.3471125485
347	0.3470299967
348	0.3468700366
349	0.3467552528
350	0.3466034578
351	0.346440476
352	0.3461764904
353	0.346073022
354	0.3459786619
355	0.3458632566
356	0.3457820335
357	0.3455756327
358	0.3453452292
359	0.3451861264
360	0.3449967202
361	0.3448206012
362	0.3446496256
363	0.3444903513
364	0.3443002594
365	0.3441939193
366	0.3439674806
367	0.3437925617
368	0.3435410917
369	0.3434915435
370	0.3434653121
371	0.3432389592
372	0.3429891179
373	0.3427362763
374	0.3426285647
375	0.3425871174
376	0.342410827
377	0.3423195742
378	0.3421435838
